country,date,name,region,income level,variable,value
AR,2004-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,118842.8
AR,2004-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,117587.7
AR,2004-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,123517.5
AR,2004-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,125167.3
AR,2005-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,128814.4
AR,2005-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,131617.8
AR,2005-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,132589.1
AR,2005-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,135034.5
AR,2006-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,138580.2
AR,2006-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,140366.8
AR,2006-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,144284.4
AR,2006-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,147318.0
AR,2007-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,150792.0
AR,2007-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,154078.9
AR,2007-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,156140.4
AR,2007-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,160931.2
AR,2008-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,162451.4
AR,2008-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,163283.2
AR,2008-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,164554.1
AR,2008-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,156887.5
AR,2009-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,151121.4
AR,2009-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,147711.7
AR,2009-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,153549.8
AR,2009-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,156490.0
AR,2010-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,161189.4
AR,2010-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,168341.1
AR,2010-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,169350.6
AR,2010-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,171642.7
AR,2011-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,175662.5
AR,2011-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,177386.3
AR,2011-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,178855.8
AR,2011-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,178877.0
AR,2012-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,176937.6
AR,2012-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,170994.9
AR,2012-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,176269.0
AR,2012-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,179284.5
AR,2013-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,179234.9
AR,2013-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,180317.4
AR,2013-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,181289.4
AR,2013-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,179565.5
AR,2014-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,176886.5
AR,2014-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,175820.5
AR,2014-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,174306.1
AR,2014-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,175292.9
AR,2015-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,177879.0
AR,2015-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,181907.0
AR,2015-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,181882.9
AR,2015-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,179818.2
AR,2016-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,178239.1
AR,2016-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,175262.6
AR,2016-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,175987.5
AR,2016-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,176988.6
AR,2017-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,178606.3
AR,2017-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,180488.2
AR,2017-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,182777.6
AR,2017-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,184517.9
AR,2018-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,183937.7
AR,2018-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,175621.2
AR,2018-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,175209.9
AR,2018-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,172608.6
AR,2019-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,172762.6
AR,2019-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,174261.2
AR,2019-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,174572.3
AR,2019-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,171627.6
AR,2020-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,164382.9
AR,2020-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,139968.8
AR,2020-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,156641.6
AR,2020-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,163301.7
AR,2021-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,169125.2
AR,2021-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,168080.6
AR,2021-07-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,174578.4
AR,2021-10-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,177426.6
AR,2022-01-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,179518.4
AR,2022-04-01,Argentina,Latin America & Caribbean ,Upper middle income,gdp,181390.1
AU,2000-01-01,Australia,East Asia & Pacific,High income,gdp,290935.0
AU,2000-04-01,Australia,East Asia & Pacific,High income,gdp,293672.0
AU,2000-07-01,Australia,East Asia & Pacific,High income,gdp,294401.0
AU,2000-10-01,Australia,East Asia & Pacific,High income,gdp,293333.0
AU,2001-01-01,Australia,East Asia & Pacific,High income,gdp,296387.0
AU,2001-04-01,Australia,East Asia & Pacific,High income,gdp,298808.0
AU,2001-07-01,Australia,East Asia & Pacific,High income,gdp,302373.0
AU,2001-10-01,Australia,East Asia & Pacific,High income,gdp,306031.0
AU,2002-01-01,Australia,East Asia & Pacific,High income,gdp,308363.0
AU,2002-04-01,Australia,East Asia & Pacific,High income,gdp,313650.0
AU,2002-07-01,Australia,East Asia & Pacific,High income,gdp,314596.0
AU,2002-10-01,Australia,East Asia & Pacific,High income,gdp,317165.0
AU,2003-01-01,Australia,East Asia & Pacific,High income,gdp,317789.0
AU,2003-04-01,Australia,East Asia & Pacific,High income,gdp,319138.0
AU,2003-07-01,Australia,East Asia & Pacific,High income,gdp,324673.0
AU,2003-10-01,Australia,East Asia & Pacific,High income,gdp,329994.0
AU,2004-01-01,Australia,East Asia & Pacific,High income,gdp,332567.0
AU,2004-04-01,Australia,East Asia & Pacific,High income,gdp,334809.0
AU,2004-07-01,Australia,East Asia & Pacific,High income,gdp,337382.0
AU,2004-10-01,Australia,East Asia & Pacific,High income,gdp,339911.0
AU,2005-01-01,Australia,East Asia & Pacific,High income,gdp,342491.0
AU,2005-04-01,Australia,East Asia & Pacific,High income,gdp,344039.0
AU,2005-07-01,Australia,East Asia & Pacific,High income,gdp,347892.0
AU,2005-10-01,Australia,East Asia & Pacific,High income,gdp,350541.0
AU,2006-01-01,Australia,East Asia & Pacific,High income,gdp,350889.0
AU,2006-04-01,Australia,East Asia & Pacific,High income,gdp,351692.0
AU,2006-07-01,Australia,East Asia & Pacific,High income,gdp,356915.0
AU,2006-10-01,Australia,East Asia & Pacific,High income,gdp,361502.0
AU,2007-01-01,Australia,East Asia & Pacific,High income,gdp,366510.0
AU,2007-04-01,Australia,East Asia & Pacific,High income,gdp,368882.0
AU,2007-07-01,Australia,East Asia & Pacific,High income,gdp,373086.0
AU,2007-10-01,Australia,East Asia & Pacific,High income,gdp,374588.0
AU,2008-01-01,Australia,East Asia & Pacific,High income,gdp,378522.0
AU,2008-04-01,Australia,East Asia & Pacific,High income,gdp,379616.0
AU,2008-07-01,Australia,East Asia & Pacific,High income,gdp,382361.0
AU,2008-10-01,Australia,East Asia & Pacific,High income,gdp,380564.0
AU,2009-01-01,Australia,East Asia & Pacific,High income,gdp,384075.0
AU,2009-04-01,Australia,East Asia & Pacific,High income,gdp,386924.0
AU,2009-07-01,Australia,East Asia & Pacific,High income,gdp,388103.0
AU,2009-10-01,Australia,East Asia & Pacific,High income,gdp,391029.0
AU,2010-01-01,Australia,East Asia & Pacific,High income,gdp,392736.0
AU,2010-04-01,Australia,East Asia & Pacific,High income,gdp,395377.0
AU,2010-07-01,Australia,East Asia & Pacific,High income,gdp,398161.0
AU,2010-10-01,Australia,East Asia & Pacific,High income,gdp,401665.0
AU,2011-01-01,Australia,East Asia & Pacific,High income,gdp,400468.0
AU,2011-04-01,Australia,East Asia & Pacific,High income,gdp,405660.0
AU,2011-07-01,Australia,East Asia & Pacific,High income,gdp,411125.0
AU,2011-10-01,Australia,East Asia & Pacific,High income,gdp,415571.0
AU,2012-01-01,Australia,East Asia & Pacific,High income,gdp,419548.0
AU,2012-04-01,Australia,East Asia & Pacific,High income,gdp,422620.0
AU,2012-07-01,Australia,East Asia & Pacific,High income,gdp,425126.0
AU,2012-10-01,Australia,East Asia & Pacific,High income,gdp,427202.0
AU,2013-01-01,Australia,East Asia & Pacific,High income,gdp,429075.0
AU,2013-04-01,Australia,East Asia & Pacific,High income,gdp,430855.0
AU,2013-07-01,Australia,East Asia & Pacific,High income,gdp,434220.0
AU,2013-10-01,Australia,East Asia & Pacific,High income,gdp,437747.0
AU,2014-01-01,Australia,East Asia & Pacific,High income,gdp,441118.0
AU,2014-04-01,Australia,East Asia & Pacific,High income,gdp,443057.0
AU,2014-07-01,Australia,East Asia & Pacific,High income,gdp,445127.0
AU,2014-10-01,Australia,East Asia & Pacific,High income,gdp,446812.0
AU,2015-01-01,Australia,East Asia & Pacific,High income,gdp,450993.0
AU,2015-04-01,Australia,East Asia & Pacific,High income,gdp,451357.0
AU,2015-07-01,Australia,East Asia & Pacific,High income,gdp,455983.0
AU,2015-10-01,Australia,East Asia & Pacific,High income,gdp,458850.0
AU,2016-01-01,Australia,East Asia & Pacific,High income,gdp,462924.0
AU,2016-04-01,Australia,East Asia & Pacific,High income,gdp,465725.0
AU,2016-07-01,Australia,East Asia & Pacific,High income,gdp,466282.0
AU,2016-10-01,Australia,East Asia & Pacific,High income,gdp,471354.0
AU,2017-01-01,Australia,East Asia & Pacific,High income,gdp,472724.0
AU,2017-04-01,Australia,East Asia & Pacific,High income,gdp,475446.0
AU,2017-07-01,Australia,East Asia & Pacific,High income,gdp,480078.0
AU,2017-10-01,Australia,East Asia & Pacific,High income,gdp,482415.0
AU,2018-01-01,Australia,East Asia & Pacific,High income,gdp,486951.0
AU,2018-04-01,Australia,East Asia & Pacific,High income,gdp,490505.0
AU,2018-07-01,Australia,East Asia & Pacific,High income,gdp,492584.0
AU,2018-10-01,Australia,East Asia & Pacific,High income,gdp,493677.0
AU,2019-01-01,Australia,East Asia & Pacific,High income,gdp,496140.0
AU,2019-04-01,Australia,East Asia & Pacific,High income,gdp,498540.0
AU,2019-07-01,Australia,East Asia & Pacific,High income,gdp,502686.0
AU,2019-10-01,Australia,East Asia & Pacific,High income,gdp,505283.0
AU,2020-01-01,Australia,East Asia & Pacific,High income,gdp,504144.0
AU,2020-04-01,Australia,East Asia & Pacific,High income,gdp,468753.0
AU,2020-07-01,Australia,East Asia & Pacific,High income,gdp,485131.0
AU,2020-10-01,Australia,East Asia & Pacific,High income,gdp,501813.0
AU,2021-01-01,Australia,East Asia & Pacific,High income,gdp,511583.0
AU,2021-04-01,Australia,East Asia & Pacific,High income,gdp,514593.0
AU,2021-07-01,Australia,East Asia & Pacific,High income,gdp,505177.0
AU,2021-10-01,Australia,East Asia & Pacific,High income,gdp,524644.0
AU,2022-01-01,Australia,East Asia & Pacific,High income,gdp,528374.0
AU,2022-04-01,Australia,East Asia & Pacific,High income,gdp,533092.0
BR,2000-01-01,Brazil,Latin America & Caribbean ,Upper middle income,gdp,192373.7
BR,2000-04-01,Brazil,Latin America & Caribbean ,Upper middle income,gdp,195057.6
